[+]	#1
[#6,#1]C([#6,#1])([OH])C([#6,#1])([#6,#1])[NH2]	#33 1,2-aminoalcohol
c[OH]	#34 phenol
[OH]cc[OH]	#35 1,2-diphenol
[OH]C=C[OH]	#36 enediol
[#6]O[#6]	#37 ether
COC	#38 dialkyl ether
cOC	#39 alkylaryl ether
cOc	#40 diaryl ether
[#6]S[#6]	#41 thioether
[#6]SS[#6]	#42 disulfide
[#6]OO[#6]	#43 peroxide
[#6]O[OH]	#44 hydroperoxide
[a]	#200 aryl
[!#6;$([N,O,S,F,Cl,Br,I,P])]	#201 heteroatom
[!#6;!$([+0]);!$([F,Cl,Br,I]);!$([o,s,nX3]);!$([Nv5,Pv5,Sv4,Sv6])]	#202 HBA
[$([N,O;!H0]),$(N(C)(C)C)]	#203 HBD
[R]	#204 Ring
[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C[$([O;$([H1&-0,H0&-1])])]);$(C[#6,#1])])]	#205 carboxylic acid
[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C(=O)O[#6]);$(C[#6,#1])])]	#206 ester
[$([N;+0,+1;$(N(=O)~[O;H0;-0,-1])])]	#207 nitro
[$([C;$(C#[N;D1])])]	#208 nitrile
[$([N;!$(N*=[!#6])]);$(N[$([a])]);!$(N~[!#6])]	#209 aniline
[$([N;$(N[$([$([C;$(C=[$([O;D1;$(O=C)])])]);$(C(=O)(N)N)])])])]	#210 urea
[CX4H3][#6]	#Primary_carbon
[CX4H2]([#6])[#6]	#Secondary_carbon
[CX4H1]([#6])([#6])[#6]	#Tertiary_carbon
[CX4]([#6])([#6])([#6])[#6]	#Quaternary_carbon
[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])]=[CX3;$([H2]),$([H1][#6]),$(C([#6])[#6])] 	#Alkene
[CX2]#[CX2]	#Alkyne
[CX3]=[CX2]=[CX3]	#Allene
[ClX1][CX4]	#Alkylchloride
[FX1][CX4]	#Alkylfluoride
[BrX1][CX4]	#Alkylbromide
[IX1][CX4]	#Alkyliodide
[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])]	#Alcohol
[OX2H][CX4H2;!$(C([OX2H])[O,S,#7,#15])]	#Primary_alcohol
[OX2H][CX4H;!$(C([OX2H])[O,S,#7,#15])]	#Secondary_alcohol
[OX2H][CX4D4;!$(C([OX2H])[O,S,#7,#15])]	#Tertiary_alcohol
[OX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])]	#Dialkylether
[SX2]([CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([OX2])[O,S,#7,#15])]	#Dialkylthioether
[OX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])]	#Alkylarylether
[c][OX2][c]	#Diarylether
[SX2](c)[CX4;!$(C([OX2])[O,S,#7,#15,F,Cl,Br,I])]	#Alkylarylthioether
[c][SX2][c]	#Diarylthioether
[O+;!$([O]~[!#6]);!$([S]*~[#7,#8,#15,#16])]	#Oxonium
[NX3+0,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])]	#Amine
[NX3H2+0,NX4H3+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]	#Primary_aliph_amine
[NX3H1+0,NX4H2+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]	#Secondary_aliph_amine
[NX3H0+0,NX4H1+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]	#Tertiary_aliph_amine
[NX4H0+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]	#Quaternary_aliph_ammonium
[NX3H2+0,NX4H3+]c	#Primary_arom_amine
[NX3H1+0,NX4H2+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]	#Secondary_arom_amine
[NX3H0+0,NX4H1+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]	#Tertiary_arom_amine
[NX4H0+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]	#Quaternary_arom_ammonium
[NX3H1+0,NX4H2+;$([N]([c])[C]);!$([N]*~[#7,#8,#15,#16])]	#Secondary_mixed_amine
[NX3H0+0,NX4H1+;$([N]([c])([C])[#6]);!$([N]*~[#7,#8,#15,#16])]	#Tertiary_mixed_amine
[NX4H0+;$([N]([c])([C])[#6][#6]);!$([N]*~[#7,#8,#15,#16])]	#Quaternary_mixed_ammonium
[N+;!$([N]~[!#6]);!$(N=*);!$([N]*~[#7,#8,#15,#16])]	#Ammonium
[SX2H][CX4;!$(C([SX2H])~[O,S,#7,#15])]	#Alkylthiol
[SX2]([CX4;!$(C([SX2])[O,S,#7,#15,F,Cl,Br,I])])[CX4;!$(C([SX2])[O,S,#7,#15])]	#Dialkylthioether
[SX2](c)[CX4;!$(C([SX2])[O,S,#7,#15])]	#Alkylarylthioether
[SX2D2][SX2D2]	#Disulfide
[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15,F,Cl,Br,I])][CX4;!$(C([N])[O,S,#7,#15])][NX3;!$(NC=[O,S,N])]	#1,2-Aminoalcohol
[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])][CX4;!$(C([OX2H])[O,S,#7,#15])][OX2H]	#1,2-Diol
[OX2H][CX4;!$(C([OX2H])([OX2H])[O,S,#7,#15])][OX2H]	#1,1-Diol
[OX2H][OX2]	#Hydroperoxide
[OX2D2][OX2D2]	#Peroxo
[LiX1][#6,#14]	#Organolithium_compounds
[MgX2][#6,#14]	#Organomagnesium_compounds
[!#1;!#5;!#6;!#7;!#8;!#9;!#14;!#15;!#16;!#17;!#33;!#34;!#35;!#52;!#53;!#85]~[#6;!-]	#Organometallic_compounds
[$([CX3H][#6]),$([CX3H2])]=[OX1]	#Aldehyde
[#6][CX3](=[OX1])[#6]	#Ketone
[$([CX3H][#6]),$([CX3H2])]=[SX1]	#Thioaldehyde
[#6][CX3](=[SX1])[#6]	#Thioketone
[NX2;$([N][#6]),$([NH]);!$([N][CX3]=[#7,#8,#15,#16])]=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])]	#Imine
[NX3+;!$([N][!#6]);!$([N][CX3]=[#7,#8,#15,#16])]	#Immonium
[NX2](=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])])[OX2H]	#Oxime
[NX2](=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])])[OX2][#6;!$(C=[#7,#8])]	#Oximether
[OX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(O)(O)[!#6])][OX2][#6;!$(C=[O,S,N])]	#Acetal
[OX2H][CX4;!$(C(O)(O)[!#6])][OX2][#6;!$(C=[O,S,N])]	#Hemiacetal
[NX3v3;!$(NC=[#7,#8,#15,#16])]([#6])[CX4;!$(C(N)(N)[!#6])][NX3v3;!$(NC=[#7,#8,#15,#16])][#6] 	#Aminal
[NX3v3;!$(NC=[#7,#8,#15,#16])]([#6])[CX4;!$(C(N)(N)[!#6])][OX2H]	#Hemiaminal
[SX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(S)(S)[!#6])][SX2][#6;!$(C=[O,S,N])]	#Thioacetal
[SX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(S)(S)[!#6])][OX2H]	#Thiohemiacetal
[NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1]	#Halogen_acetal_like
[NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1,NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])]	#Acetal_like
[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1]	#Halogenmethylen_ester_and_similar
[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])]	#NOS_methylen_ester_and_similar
[NX3v3,SX2,OX2;$(**=[#7,#8,#15,#16])][CX4;!$(C([N,S,O])([N,S,O])[!#6])][FX1,ClX1,BrX1,IX1,NX3v3,SX2,OX2;!$(*C=[#7,#8,#15,#16])]	#Hetero_methylen_ester_and_similar
[NX1]#[CX2][CX4;$([CH2]),$([CH]([CX2])[#6]),$(C([CX2])([#6])[#6])][OX2H]	#Cyanhydrine
[ClX1][CX3]=[CX3]	#Chloroalkene
[FX1][CX3]=[CX3]	#Fluoroalkene
[BrX1][CX3]=[CX3]	#Bromoalkene
[IX1][CX3]=[CX3]	#Iodoalkene
[OX2H][CX3;$([H1]),$(C[#6])]=[CX3]	#Enol
[OX2H][CX3;$([H1]),$(C[#6])]=[CX3;$([H1]),$(C[#6])][OX2H]	#Endiol
[OX2]([#6;!$(C=[N,O,S])])[CX3;$([H0][#6]),$([H1])]=[CX3]	#Enolether
[OX2]([CX3]=[OX1])[#6X3;$([#6][#6]),$([H1])]=[#6X3;!$(C[OX2H])]	#Enolester
[NX3;$([NH2][CX3]),$([NH1]([CX3])[#6]),$([N]([CX3])([#6])[#6]);!$([N]*=[#7,#8,#15,#16])][CX3;$([CH]),$([C][#6])]=[CX3]	#Enamine
[SX2H][CX3;$([H1]),$(C[#6])]=[CX3]	#Thioenol
[SX2]([#6;!$(C=[N,O,S])])[CX3;$(C[#6]),$([CH])]=[CX3]	#Thioenolether
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[ClX1] 	#Acylchloride
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[FX1] 	#Acylfluoride
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[BrX1] 	#Acylbromide
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[IX1]	#Acyliodide
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[FX1,ClX1,BrX1,IX1]	#Acylhalide
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[$([OX2H]),$([OX1-])]	#Carboxylic_acid
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[OX2][#6;!$(C=[O,N,S])]	#Carboxylic_ester
[#6][#6X3R](=[OX1])[#8X2][#6;!$(C=[O,N,S])]	#Lactone
[CX3;$([H0][#6]),$([H1])](=[OX1])[#8X2][CX3;$([H0][#6]),$([H1])](=[OX1])	#Carboxylic_anhydride
[$([#6X3H0][#6]),$([#6X3H])](=[!#6])[!#6]	#Carboxylic_acid_derivative
[CX3;!R;$([C][#6]),$([CH]);$([C](=[OX1])[$([SX2H]),$([SX1-])]),$([C](=[SX1])[$([OX2H]),$([OX1-])])]	#Carbothioic_acid
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[SX2][#6;!$(C=[O,N,S])]	#Carbothioic_S_ester
[#6][#6X3R](=[OX1])[#16X2][#6;!$(C=[O,N,S])]	#Carbothioic_S_lactone
[CX3;$([H0][#6]),$([H1])](=[SX1])[OX2][#6;!$(C=[O,N,S])]	#Carbothioic_O_ester
[#6][#6X3R](=[SX1])[#8X2][#6;!$(C=[O,N,S])]	#Carbothioic_O_lactone
[CX3;$([H0][#6]),$([H1])](=[SX1])[FX1,ClX1,BrX1,IX1]	#Carbothioic_halide
[CX3;!R;$([C][#6]),$([CH]);$([C](=[SX1])[SX2H])]	#Carbodithioic_acid
[CX3;!R;$([C][#6]),$([CH]);$([C](=[SX1])[SX2][#6;!$(C=[O,N,S])])]	#Carbodithioic_ester
[#6][#6X3R](=[SX1])[#16X2][#6;!$(C=[O,N,S])]	#Carbodithiolactone
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	#Amide
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[NX3H2]	#Primary_amide
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H1][#6;!$(C=[O,N,S])]	#Secondary_amide
[CX3;$([R0][#6]),$([H1R0])](=[OX1])[#7X3H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])]	#Tertiary_amide
[#6R][#6X3R](=[OX1])[#7X3;$([H1][#6;!$(C=[O,N,S])]),$([H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	#Lactam
[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H0]([#6])[#6X3;$([H0][#6]),$([H1])](=[OX1])	#Alkyl_imide
[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H0]([!#6])[#6X3;$([H0][#6]),$([H1])](=[OX1])	#N_hetero_imide
[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H1][#6X3;$([H0][#6]),$([H1])](=[OX1])	#Imide_acidic
[$([CX3;!R][#6]),$([CX3H;!R])](=[SX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	#Thioamide
[#6R][#6X3R](=[SX1])[#7X3;$([H1][#6;!$(C=[O,N,S])]),$([H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	#Thiolactam
[#6X3;$([H0][#6]),$([H1])](=[OX1])[#8X2][#7X2]=,:[#6X3;$([H0]([#6])[#6]),$([H1][#6]),$([H2])]	#Oximester
[NX3;!$(NC=[O,S])][CX3;$([CH]),$([C][#6])]=[NX2;!$(NC=[O,S])]	#Amidine
[CX3;$([H0][#6]),$([H1])](=[OX1])[#7X3;$([H1]),$([H0][#6;!$(C=[O,N,S])])][$([OX2H]),$([OX1-])]	#Hydroxamic_acid
[CX3;$([H0][#6]),$([H1])](=[OX1])[#7X3;$([H1]),$([H0][#6;!$(C=[O,N,S])])][OX2][#6;!$(C=[O,N,S])]	#Hydroxamic_acid_ester
[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[$([OX2H]),$([OX1-])]	#Imidoacid
[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[$([OX2H]),$([OX1-])]  	#Imidoacid_cyclic
[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[OX2][#6;!$(C=[O,N,S])]	#Imidoester
[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[OX2][#6;!$(C=[O,N,S])]	#Imidolactone
[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[$([SX2H]),$([SX1-])]	#Imidothioacid
[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[$([SX2H]),$([SX1-])]  	#Imidothioacid_cyclic
[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[SX2][#6;!$(C=[O,N,S])]	#Imidothioester
[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[SX2][#6;!$(C=[O,N,S])]	#Imidothiolactone
[#7X3v3;!$(N([#6X3]=[#7X2])C=[O,S])][CX3R0;$([H1]),$([H0][#6])]=[NX2v3;!$(N(=[#6X3][#7X3])C=[O,S])]	#Amidine
[#6][#6X3R;$([H0](=[NX2;!$(N(=[#6X3][#7X3])C=[O,S])])[#7X3;!$(N([#6X3]=[#7X2])C=[O,S])]),$([H0](-[NX3;!$(N([#6X3]=[#7X2])C=[O,S])])=,:[#7X2;!$(N(=[#6X3][#7X3])C=[O,S])])]  	#Imidolactam
[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[FX1,ClX1,BrX1,IX1]	#Imidoylhalide
[#6R][#6X3R](=,:[#7X2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[FX1,ClX1,BrX1,IX1]	#Imidoylhalide_cyclic
[$([$([#6X3][#6]),$([#6X3H])](=[#7X2v3])[#7X3v3][#7X3v3]),$([$([#6X3][#6]),$([#6X3H])]([#7X3v3])=[#7X2v3][#7X3v3])]	#Amidrazone
[NX3,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])][C][CX3](=[OX1])[OX2H,OX1-]	#Alpha_aminoacid
[OX2H][C][CX3](=[OX1])[OX2H,OX1-]	#Alpha_hydroxyacid
[NX3;$([N][CX3](=[OX1])[C][NX3,NX4+])][C][CX3](=[OX1])[NX3;$([N][C][CX3](=[OX1])[NX3,OX2,OX1-])]	#Peptide_middle
[NX3;$([N][CX3](=[OX1])[C][NX3,NX4+])][C][CX3](=[OX1])[OX2H,OX1-]	#Peptide_C_term
[NX3,NX4+;!$([N]~[!#6]);!$([N]*~[#7,#8,#15,#16])][C][CX3](=[OX1])[NX3;$([N][C][CX3](=[OX1])[NX3,OX2,OX1-])]	#Peptide_N_term
[#6][OX2][CX4;$(C[#6]),$([CH])]([OX2][#6])[OX2][#6] 	#Carboxylic_orthoester
[CX3]=[CX2]=[OX1]	#Ketene
[#7X2,#8X3,#16X2;$(*[#6,#14])][#6X3]([#7X2,#8X3,#16X2;$(*[#6,#14])])=[#6X3]	#Ketenacetal
[NX1]#[CX2]	#Nitrile
[CX1-]#[NX2+]	#Isonitrile
[#6X3](=[OX1])[#6X3]=,:[#6X3][#7,#8,#16,F,Cl,Br,I]	#Vinylogous_carbonyl_or_carboxyl_derivative
[#6X3](=[OX1])[#6X3]=,:[#6X3][$([OX2H]),$([OX1-])]	#Vinylogous_acid
[#6X3](=[OX1])[#6X3]=,:[#6X3][#6;!$(C=[O,N,S])]	#Vinylogous_ester
[#6X3](=[OX1])[#6X3]=,:[#6X3][#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	#Vinylogous_amide
[#6X3](=[OX1])[#6X3]=,:[#6X3][FX1,ClX1,BrX1,IX1]	#Vinylogous_halide
[#6;!$(C=[O,N,S])][#8X2][#6X3](=[OX1])[#8X2][#6;!$(C=[O,N,S])]	#Carbonic_acid_dieester
[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[OX1])[OX2][FX1,ClX1,BrX1,IX1]	#Carbonic_acid_esterhalide
[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[OX1])[$([OX2H]),$([OX1-])]	#Carbonic_acid_monoester
[!#6][#6X3](=[!#6])[!#6]	#Carbonic_acid_derivatives
[#6;!$(C=[O,N,S])][#8X2][#6X3](=[SX1])[#8X2][#6;!$(C=[O,N,S])]	#Thiocarbonic_acid_dieester
[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[SX1])[OX2][FX1,ClX1,BrX1,IX1]	#Thiocarbonic_acid_esterhalide
[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[SX1])[$([OX2H]),$([OX1-])]	#Thiocarbonic_acid_monoester
[#7X3;!$([#7][!#6])][#6X3](=[OX1])[#7X3;!$([#7][!#6])]	#Urea
[#7X3;!$([#7][!#6])][#6X3](=[SX1])[#7X3;!$([#7][!#6])]	#Thiourea
[#7X2;!$([#7][!#6])]=,:[#6X3]([#8X2&!$([#8][!#6]),OX1-])[#7X3;!$([#7][!#6])]	#Isourea
[#7X2;!$([#7][!#6])]=,:[#6X3]([#16X2&!$([#16][!#6]),SX1-])[#7X3;!$([#7][!#6])]	#Isothiourea
[N;v3X3,v4X4+][CX3](=[N;v3X2,v4X3+])[N;v3X3,v4X4+]	#Guanidine
[NX3]C(=[OX1])[O;X2H,X1-]	#Carbaminic_acid
[#7X3][#6](=[OX1])[#8X2][#6]	#Urethan
[#7X3][#6](=[OX1])[#7X3][#6](=[OX1])[#7X3]	#Biuret
[#7X3][#7X3][#6X3]([#7X3;!$([#7][#7])])=[OX1]	#Semicarbazide
[#7X3][#7X3][#6X3]([#7X3][#7X3])=[OX1]	#Carbazide
[#7X2](=[#6])[#7X3][#6X3]([#7X3;!$([#7][#7])])=[OX1]	#Semicarbazone
[#7X2](=[#6])[#7X3][#6X3]([#7X3][#7X3])=[OX1]	#Carbazone
[#7X3][#7X3][#6X3]([#7X3;!$([#7][#7])])=[SX1]	#Thiosemicarbazide
[#7X3][#7X3][#6X3]([#7X3][#7X3])=[SX1]	#Thiocarbazide
[#7X2](=[#6])[#7X3][#6X3]([#7X3;!$([#7][#7])])=[SX1]	#Thiosemicarbazone
[#7X2](=[#6])[#7X3][#6X3]([#7X3][#7X3])=[SX1]	#Thiocarbazone
[NX2]=[CX2]=[OX1]	#Isocyanate
[OX2][CX2]#[NX1]	#Cyanate
[NX2]=[CX2]=[SX1]	#Isothiocyanate
[SX2][CX2]#[NX1]	#Thiocyanate
[NX2]=[CX2]=[NX2]	#Carbodiimide
[CX4H0]([O,S,#7])([O,S,#7])([O,S,#7])[O,S,#7,F,Cl,Br,I]	#Orthocarbonic_derivatives
[OX2H][c]	#Phenol
[OX2H][c][c][OX2H]	#1,2-Diphenol
[Cl][c]	#Arylchloride
[F][c]	#Arylfluoride
[Br][c]	#Arylbromide
[I][c]	#Aryliodide
[SX2H][c]	#Arylthiol
[c]=[NX2;$([H1]),$([H0][#6;!$([C]=[N,S,O])])]	#Iminoarene
[c]=[OX1]	#Oxoarene
[c]=[SX1]	#Thioarene
[nX3H1+0]	#Hetero_N_basic_H
[nX3H0+0]	#Hetero_N_basic_no_H
[nX2,nX3+]	#Hetero_N_nonbasic
[o]	#Hetero_O
[sX2]	#Hetero_S
[a;!c]	#Heteroaromatic
[NX2](=[OX1])[O;$([X2]),$([X1-])]	#Nitrite
[SX2][NX2]=[OX1]	#Thionitrite
[$([NX3](=[OX1])(=[OX1])[O;$([X2]),$([X1-])]),$([NX3+]([OX1-])(=[OX1])[O;$([X2]),$([X1-])])] 	#Nitrate
[$([NX3](=O)=O),$([NX3+](=O)[O-])][!#8]	#Nitro
[NX2](=[OX1])[!#7;!#8]	#Nitroso
[NX1]~[NX2]~[NX2,NX1]	#Azide
[CX3](=[OX1])[NX2]~[NX2]~[NX1]	#Acylazide
[$([#6]=[NX2+]=[NX1-]),$([#6-]-[NX2+]#[NX1])] 	#Diazo
[#6][NX2+]#[NX1]	#Diazonium
[#7;!$(N*=O)][NX2]=[OX1]	#Nitrosamine
[NX2](=[OX1])N-*=O	#Nitrosamide
[$([#7+][OX1-]),$([#7v5]=[OX1]);!$([#7](~[O])~[O]);!$([#7]=[#7])] 	#N-Oxide
[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])][NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])]	#Hydrazine
[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])][NX2]=[#6]	#Hydrazone
[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])][OX2;$([H1]),$(O[#6;!$(C=[N,O,S])])]	#Hydroxylamine
[$([SX4](=[OX1])(=[OX1])([#6])[#6]),$([SX4+2]([OX1-])([OX1-])([#6])[#6])]	#Sulfon
[$([SX3](=[OX1])([#6])[#6]),$([SX3+]([OX1-])([#6])[#6])]	#Sulfoxide
[S+;!$([S]~[!#6]);!$([S]*~[#7,#8,#15,#16])]	#Sulfonium
[SX4](=[OX1])(=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]	#Sulfuric_acid
[SX4](=[OX1])(=[OX1])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]	#Sulfuric_monoester
[SX4](=[OX1])(=[OX1])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]	#Sulfuric_diester
[SX4](=[OX1])(=[OX1])([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])[$([OX2H]),$([OX1-])]	#Sulfuric_monoamide
[SX4](=[OX1])(=[OX1])([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	#Sulfuric_diamide
[SX4](=[OX1])(=[OX1])([#7X3][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]	#Sulfuric_esteramide
[SX4D4](=[!#6])(=[!#6])([!#6])[!#6]	#Sulfuric_derivative
[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[$([OX2H]),$([OX1-])]	#Sulfonic_acid
[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	#Sulfonamide
[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[OX2][#6;!$(C=[O,N,S])]	#Sulfonic_ester
[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[FX1,ClX1,BrX1,IX1]	#Sulfonic_halide
[SX4;$([H1]),$([H0][#6])](=[!#6])(=[!#6])[!#6]	#Sulfonic_derivative
[SX3;$([H1]),$([H0][#6])](=[OX1])[$([OX2H]),$([OX1-])]	#Sulfinic_acid
