18	7	[#6,#1]C([#6,#1])(O[#6])(O[#6])	COC(C)(OC)C	CC1(C)OCCO1
175	6	[#6][#6X3R;$([H0](=[NX2;!$(N(=[#6X3][#7X3])C=[O,S])])[#7X3;!$(N([#6X3]=[#7X2])C=[O,S])]),$([H0](-[NX3;!$(N([#6X3]=[#7X2])C=[O,S])])=,:[#7X2;!$(N(=[#6X3][#7X3])C=[O,S])])]  	CC1=NCCN1	FC1=CC(Cl)=CN=C1N	N=C1C=CC=CN1C
181	8	[NX3;$([N][CX3](=[OX1])[C][NX3,NX4+])][C][CX3](=[OX1])[NX3;$([N][C][CX3](=[OX1])[NX3,OX2,OX1-])]	O=C1CNC(=O)CN1	CN(N)CC(=O)N(N)CC(=O)NCC(=O)OC	O=C(O)CN1CC(NC(=O)CN)C1=O
184	7	[#6][OX2][CX4;$(C[#6]),$([CH])]([OX2][#6])[OX2][#6] 	COC(OC)OC	C1OC2(OCC1O2)C	O(C)C1OCCO1
189	7	[#6X3](=[OX1])[#6X3]=,:[#6X3][#7,#8,#16,F,Cl,Br,I]	O=C(N)C(C)=CN	O=C1NC(S)=NC(=C)C1=C	O=C1CCC2=CC=C(O)C(O)=C12
190	7	[#6X3](=[OX1])[#6X3]=,:[#6X3][$([OX2H]),$([OX1-])]	CC(O)=C(C)C=O	CC(=O)C=1C(C)=CC=CC1O	O=CC1=C(O)C(C)=C(O)C(Cl)=C1C
192	7	[#6X3](=[OX1])[#6X3]=,:[#6X3][#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]	NC(N)=CC(=O)N	O=C1C=CN(C)C2=CC(F)=C(F)C=C12	NC=1C(=O)NCNC1O
193	7	[#6X3](=[OX1])[#6X3]=,:[#6X3][FX1,ClX1,BrX1,IX1]	NC(C=O)=C(F)C	O=C1NSC(Cl)=C1Cl	OC(=O)C=1C=CC=CC1I
197	4	[!#6][#6X3](=[!#6])[!#6]	OC(=O)O	SC(=N)N
204	5	[#7X2;!$([#7][!#6])]=,:[#6X3]([#16X2&!$([#16][!#6]),SX1-])[#7X3;!$([#7][!#6])]	N=C(SC)N	C1=CN2C=CSC2=N1	CNC1=NCCS1
231	8	[c]=[OX1]	O=C1OC=C(C)C=C1	NC1=NNC(=O)NC1=O	CN1C(=O)C(=C)C(=C)N=C1C
232	7	[c]=[SX1]	CN1NN=NC1=S	S=C1C=CC=CC=C1N	O=C1NC(=S)NC(O)=C1C
252	3	[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])][NX2]=[#6]	C=NN	CC1=C(N)N=C2N(N=CCN12)C	C=NN(C)C=1C=CC=CC1
266	6	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[OX2][#6;!$(C=[O,N,S])]	COS(C)(=O)=O	COS(=O)(=O)C1=CC=CC=2C=NC=CC21	CS(=O)(=O)OC=1C=CC(=CC1)C=2C=CC=CC2
332	7	[D4R;$(*(@*)(@*)(@*)@*)]	C1CCCC12OC2	C1CNC2(CC=3C=CC=CC3N2)N1	C1=CNC2(C1)OC=CC=C2
333	9	[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]@[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]	C1CCC2CCCCC12	C1NCC2=C(N1)CCNC2
334	7	[R;$(*(@*)(@*)@*);!$([D4R;$(*(@*)(@*)(@*)@*)]);!$([R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]@[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])])]	C1C2CCC1CC2	C=1CN=CC=2N=C(SC2)CCCCOCCNCCOCCCCNCCN1	C1=CC=CCC=CN=CC=C2C=CC(=CC=CC=C1)N2
345	3	[$(*=O),$([#16,#14,#5]),$([#7]([#6]=[OX1]))][#8X2][$(*=O),$([#16,#14,#5]),$([#7]([#6]=[OX1]))]	O=POP=O	[Si]O[Si]	O=COI=O
380	7	*1~*~*~*~*~*~*~1	C1CCCCCC1	C=1CC2=NC=CC=C2CCC1
386	4	[#7]~[#6](~[#7])~[#7]	N=C(N)N	NC=1N=CC=C(N1)C2=CN=CC=C2	NC=1N=NNN1
387	9	[#6]=;@[#6](@*)@*	C1C=C2CCCC2CC1
404	3	[!C;!c;!#1;!H0]~*~[!C;!c;!#1;!H0]	NCN	N=CN
408	3	[#16]~*~[#7]	SCN	SC1=NC=NC=2N=CNC12	NC=S
409	4	[#8]~[!#6;!#1](~[#8])(~[#8])	OP(O)O
414	5	[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]	OCCCO	NC=1N=NNN1
415	4	[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]	OCCO	NC1=NC=NC=2N=CNC12
418	3	[#8R]	C1CO1	C=1C=NOC1	C1=NNCO1
420	6	[#16]!:*:*	SC1=NC=NN1	S=C1N(C)C(=C)C(=C)N1C	SC1=CC=C(C(N)=C1)C2=CSC=C2
423	10	*@*!@*@*	C1CCCC1C2CCCOC2	N1=CC=C(N1)C=2SC=CC2
430	2	[!#6;!#1]~[!#6;!#1;!H0]	SN	PO	NN1C=NN=C1
440	4	[#7]~*~*~[#7]	NCCN	N=1OC(=NC1C=2C=CC=CC2)C=3SC=CC3
441	5	[#7]~*~*~*~[#7]	NCCCN	C1N=NNN1	N=1N=CN(C1)C=2N=C(N=C3C=CC=CC32)C=4C=CC=CC4
442	4	[#16]~*(~*)~*	CC(S)C	NC1=NC(=CS1)C=2C=NC=CC2
445	2	[NH2]	CN	NO
458	5	[#7]~*~*~*~[#8]	OCCCN	N=CNS=O	C1=NOCN1
464	1	Cl	Cl
465	4	[!#6;!#1;!H0]~*~[CH2]~*	CCCO	NCCC1=CNC=2C=CC=CC21	CCC1=CN=CN1
467	4	[!#6;!#1]~*(~[!#6;!#1])~[!#6;!#1]	FC(F)F	NC1=NC=2C=CC=CC2O1
469	6	[CH3]~*~*~*~[CH2]~*	CCCCCC	C1C(CCC1)C
473	5	*~*(~*)(~*)~*	CC(C)(C)C	O=P(O)(O)S	O=S(=O)(N)C=1C=CC=CC1
478	3	[#7]~*~[#8]	NCO	O=CN	N=CO
480	2	[#7]=*	N=N
482	5	[#7;R]	N1CCCC1	C1=CSC=N1	C1=CNC=2C=CC=CC12
485	2	[!#6;!#1]~[!#6;!#1]	OP	NN
487	3	*!@[#8]!@*	COC	O(C)C=1C=CC=CC1
491	2	[!#6;!#1]~[!#6;!#1]	NN	OP
495	1	[F,Cl,Br,I]	F	I	Cl
496	7	[#7]!:*:*	NC=1C=CC=CC1	CC1=NNC(=S)N1N	NC=1N=C(N)NC(=O)C1N
497	2	[#8]=*	O=S	C=O
499	3	[!#6;!#1]~[CH2]~*	OCC	NCC=1C=CC=CC1	NCC
502	2	[CH3]	CC
509	4	*~[!#6;!#1](~*)~*	CN(C)C	N=1C=NN(C)C1
814	2	[#6]~[#8]	OC
820	2	[#6]~[#15]	PC	P=C	PC=1C=CC=CC1
832	2	[#7]~[#15]	PN	NP
842	2	[#8]~[#15]	OP	O=P
859	7	[#6](~[Br])(:[n])	CC1=NSN=C1Br	FC1=CN=C(Br)C=C1N	CN1C=C(Br)N=CC1=N
864	5	[#6](~[#6])(~[#6])(~[#6])(~[#7])	NC(C)(C)C	NC(C=1C=CC=CC1)(C=2C=CC=CC2)C=3C=CC=CC3	NC(C)(C=1C=CC=CC1)C
888	3	[#6](~[Cl])(~[Cl])	ClCCl
911	6	[#6](~[#16])(:c)	CC=1SC=CC1	O=C1NN=C(S)C(=O)N1	NC1=CC=C(O)C=C1S
914	10	[#6](:c)(:c)(:n)	CC1=CNC=2C=CC=CC12	ClC=1N=CC=2SC=C(Br)C2N1	O=C1C2=C(N=C(S)N2C)N(C(=O)N1C)C
928	6	[#7&!H0](:c)(:c)	N=1C=CNC1C	NC=1C(=O)NC(=O)NC1O	S=C1NC(=C)C(=C)N1C
938	3	[#15](~[#6])(~[#6])	CPC	C=PC=1C=CC=CC1	CPC=1OC=CC1
940	3	[#16](~[#6])(~[#6])	CSC	CSC1=NC=NC=2N=CNC21	CSC=1C=CC=CC1
949	2	[#6]=,:[#16]	C=S	CC=1SC=CC1	C=C1N=C(SC1=C)N
950	2	[#7]=,:[#7]	N=N	CC1=NC=NN1	SC1=NN=C(S1)N
960	4	[#6](-,:[#6])(-,:[#6])(=,:[#8])	CC(C)=O	O=C1OC=2C=C(O)C(O)=CC2C=C1	C=C1C(C)=C(C)OC1=C
966	4	[#6](-,:[#6])(-,:[#7])(=,:[#7])	N=C(N)C	N=1OC(=NC1C=2C=CC=CC2)C=3SC=CC3	OC=1N=C(N)N=C(N)C1Br
976	2	[#6&!H0](=,:[#8])	O=C	O1C=CC=C1C	C=C1C(=O)C(O)=COC1=C
978	3	[#6](-,:[#7])(=,:[#7])	NC=N	CN1NN=NC1=S	NC1=NC=CC=C1
996	4	[#8]=,:[#16]-,:[#6]-,:[#7]	NCS=O	N=C1SC(=NN1C)S=O	O=SC1=NC=2C=CC=CC2N1
1003	4	[#16]-,:[#6]=,:[#7]-,:[#6]	CN=CS	SC1=NC=NC=2N=CNC12	CC1=C(C)SC(=O)N1C
1006	3	[#16]-,:[#6]=,:[#7&!H0]	SC=N	S=C1SC=NN1	O=C1NC(S)=NC(O)=C1C
1016	3	[#7]-,:[#6]=,:[#7&!H0]	NC=N	N=1C=CNC1C	NC=1C(=O)NC(=O)NC1O
1021	6	[#8]=,:[#6]-,:[#6]:[#6]	O1C=CC=C1C	O=CC=1NC(=O)NC1N	CN1C(S)=NC(C)=C(S)C1=O
1022	8	[#8]=,:[#6]-,:[#6]:[#7]	NC=1N=CNC1C=O	OC1=NC(C)=C(C)O1	N1=C2C=CC=CC2=NC(C=3OC=CC3)=C1C=4OC=CC4
1039	3	[#16]=,:[#6]-,:[#7&!H0]	S=CN	CC1=CSC(=O)N1	SC1=NN=C(S1)N
1049	6	[#6]:[#7]-,:[#6&!H0]	N=1C=CNC1C	C=C1C(=C)C(=C)N(C)C1=C	OC=1C=CN=C(F)C1
1056	2	[#7&!H0]-,:[#6&!H0]	NC
1057	4	[Cl]-,:[#6]-,:[#6]-,:[Cl]	ClCCCl	O=C1C(Cl)=C(Cl)C=NN1C	SC=1C=C(Cl)C(Cl)=CC1N
1061	6	[#16]-,:[#6]:[#6]-,:[#7]	CC=1N=CSC1	NC1=CC=C(O)C=C1S	O=C1N=C(S)C(S)=NN1
1064	4	[#8]=,:[#6]-,:[#6]-,:[#7]	O=CCN	O=CC1=NN2C(N=C(C=C2C=3C=CC=CC3)C=4C=CC=CC4)=C1	NCC=1OC=CC1
1072	8	[#8]-,:[#6]:[#6]-,:[#8]	OC=1C=CC=CC1O	CC=1OC(=C)C(=C)C(=O)C1O	OC=1N=C(C)C(=C(O)C1O)C
1105	7	c:c-,:[#7]-,:c:c	CN1C=CC=C1C	C=C1NC(=C)C(=C)C1=C	OC1=CC=C(C=C1O)NC=2N=CN=C3C=CC=CC32
1109	5	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#8]	O=CCCO	C=C1C=C(OC1=C)C=2C=CC(O)=CC2O	OC1=C(C)C(=O)N(C)C(=C)C1=C
1116	5	[#8]=,:[#6]-,:[#6]-,:[#6]=,:[#8]	O=CCC=O	O=C1C(C)=C(C)OC(C=2C=CC=CC2)=C1O	CC1=NOC(=C1C=O)C
1135	8	[#7]-,:[#6]-,:[#6]-,:[#6]:c	NCCC1=CN=CN1	N=C1C(F)=CC(Cl)=CN1C	CC=1NC(C)=C(C)C1C
1137	5	[Cl]-,:[#6]-,:[#6]-,:[#7]-,:[#6]	ClCCNC	NC1=NC=C(Cl)C=C1O	O=C1C(Cl)=C(F)NC(F)=C1Cl
1140	5	[#7]-,:[#6]-,:[#8]-,:[#6]-,:[#6]	CCOCN	C1NCCO1	SC1=NN=C(O1)C=2OC=CC2
1143	5	[#7]-,:[#6]-,:[#6]-,:[#8]-,:[#6]	NCCOC	C1NCCO1	CC1=NC(C)=CO1
1148	6	c:c-,:[#8]-,:[#6]-,:[#6]	CC1=COC=C1	SC1=CC(OCC)=CC=C1N	OC=1C=C(O)C=2CCOC2C1Cl
1153	8	[#8]=,:[#6]-,:[#6]:[#6]-,:[#8]	CC=1ON=C(O)C1C	NC=1C=C(Br)C=C(C=O)C1O	C=C1OC(=CC(=O)C1=C)C
1159	9	[#8]-,:[#6]:[#6]-,:[#8&!H0]	OC1=CC(C)=CC=C1O	CC=1OC(=C)C(=C)C(=O)C1O	CC=1C(C)=C(Cl)C(O)=C(O)C1O
1164	5	[#6]-,:[#7]-,:[#6]-,:[#7]-,:[#6]	CNCNC	C1NCCN1	NC1=NC=CC=N1
1175	5	[#8]=,:[#6]-,:[#7]-,:[#6]-,:[#7]	O=CNCN	N=1OC(=NC1C)C	O=C1NC(S)=NC=C1F
1178	5	[#8]=,:[#6]-,:[#7]-,:[#6]=,:[#8]	O=CNC=O	CC=1C(=O)C(=C)C(=C)OC1NC=O	O=CNC1=NN=C(O1)C
1180	7	[#8]-,:[#6]:[#6]:[#6]-,:[#7]	CC1=NOC(C)=C1	OC=1N=C(F)C(Cl)=C(N)C1Cl	CC=1C(=O)N(C)C(=C)C(=C)C1O
1186	5	[#6]-,:[#6]-,:[#16]-,:[#6]-,:[#6]	CCSCC	S1CCCC1	CC1=CC=2C(C)=CC(=NC2S1)C=3C=NC=CC3
1190	5	[#8]-,:[#6]-,:[#6]-,:[#8]-,:[#6]	OCCOC	NC1=CC=C2OCOC2=C1	O=C1C=C(OC(C)=C1O)C
1209	6	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]	OCCCCO	OC1=CC=2OC=CC2C(O)=C1C	OC1OCCC1
1210	6	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]	NCCCCO	N=1C=CC(=CC1)C=2OC=3C=CC=CC3C2	OC=1NC(C)=C(C(=O)C1O)C
1213	6	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]	NCCCC=O	ClC=1C=CC(N)=CC1C2=NC(C)=C(C)O2	O=C1CCCN1
1214	6	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]	OCCCC=O	OC1=CC(=CC(O)=C1O)C2=NN=C(S)O2	O=C1OCCC1
1215	6	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]=,:[#8]	O=CCCC=O	CC=1C(C)=CC2=C(O)C=3C(=O)C=CC(=O)C3C(=O)C12	O=CC1=NOC(=C1)C=2C=CC=CC2
1222	7	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]=,:[#8]	O=CCCCC=O	S=C1OC(=NN1)C=2OC=CC2	O=C1CCCC1=O
1223	7	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]	NCCCCC=O	N1=CC(C)=CC=C1C=2OC=CC2	C=C1C(=C)NC(=O)C(C)=C1O
1228	8	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]-,:[#6]	OCCCCCOC	C1CCCCOCO1	CC1=C2OCCC2=C(O)C=C1C
1231	8	[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6](-,:[#7])-,:[#6]	OCCCCC(N)C	OC1=CC=CC=2CC=3C=COC3NC12	NC1(C)OCCCC1
1233	8	[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6](-,:[#8])-,:[#6]	O=CCCCC(O)C	O=C1OC(C)=C(C)C=C1C2=NC=3C=CC=CC3S2	OC1CCCC(=O)C1
1240	6	[#6]-,:[#6](-,:[#6])-,:[#6](-,:[#6])-,:[#6]	CC(C)C(C)C	ClC1=CC=C(C=C1)C2CC2	CC=1OC(=O)C(C)=C(C1C)C
1241	8	[#6]c1ccc([#6])cc1	CC1=CC=C(C=C1)C	O=C1C(C)=C2C(=C)N3CCCN=C3C=C2C=4C=CC=CC14	OC=1C(N)=C(C(N)=C(C1C)C)C
1250	8	[#8]c1ccc(Cl)cc1	OC1=CC=C(Cl)C=C1	NC=1C(C)=C(Cl)C=C(I)C1O	CC=1C=C(Cl)C=C(Br)C1O
1262	8	[#6]c1cc([#6])ccc1	CC1=CC=CC(=C1)C	O=C1C(=C)C(=C)C2=CC3=NCCCN3C(=C)C2=C1C	CC=1C(C)=C(O)C(C)=C(O)C1C
1264	8	[#6]c1cc([#16])ccc1	CC1=CC=CC(S)=C1	SC=1C=C(C=2N=NNN2)C(N)=CC1Cl	N=1N=C2SC3=CC=CC(=C3N2C1)C
1267	8	[#6]c1cc(Br)ccc1	CC1=CC=CC(Br)=C1	OC=1C=C(Br)C=2NN=CC2C1	CC=1NN=C2C=CC(Br)=CC12
1268	9	[#8]c1cc([#8])ccc1	CC1=CC=C(O)C=C1O	ClC=1C(O)=C(C)C(O)=C(C)C1C	OC1=CC=2OC=CC2C(O)=C1C
1269	8	[#8]c1cc([#16])ccc1	OC1=CC=CC(S)=C1	C=C1C(=C)C=C(S)C(N)=C1O	NC1=C(S)C=C(C)C(C)=C1O
1273	9	[#16]c1cc([#16])ccc1	NC1=CC=C(S)C=C1S	SC=1C=C(S)C=C(I)C1	SC=1C=C(S)C(Cl)=C(Cl)C1
1283	8	[#6]c1c([#6])cccc1	CC=1C=CC=CC1C	CC=1C(C)=C(O)C(N)=C(C)C1O	CC1=C(O)C=C(O)C(Cl)=C1C
1284	8	[#6]c1c([#8])cccc1	CC=1C=CC=CC1O	CC=1C(O)=C(C)C(O)=C(C)C1O	NC=1C=C(O)C=C(O)C1C
1286	8	[#6]c1c([#7])cccc1	CC=1C=CC=CC1N	N1=C(NC2=C1C=3C=CC=CC3C=4C=CC=CC42)C=5SC=CC5	CC=1C=C(Br)C=2C=NNC2C1
1305	8	[#6][#6]1[#6][#6][#6]([#8])[#6][#6]1	OC1CCC(C)CC1	OC=1C=CC=2C=CC=CC2C1	CC=1C(C)=C(Cl)C(O)=C(O)C1O
1307	8	[#6][#6]1[#6][#6][#6]([#7])[#6][#6]1	NC1CCC(C)CC1	OC=1C=C2C=CN=C3CC=4C=C(O)C(O)=CC4C(C1O)=C32	CC=1C=C(Cl)C(N)=C(Br)C1C
1310	8	[#8][#6]1[#6][#6][#6]([#8])[#6][#6]1	OC1CCC(O)CC1	OC1=C(O)C=2OC=CC2C(O)=C1C	OC1=CC=C(O)C(N)=C1
1325	8	[#6][#6]1[#6][#6]([#6])[#6][#6][#6]1	CC1CCCC(C)C1	BrC=1C=C(O)C=2CC=3C(N)=CC=C(O)C3CC2C1N	CC1=C(C)C(=C2C=3C=CC=CC3NC2=C1C)C
1328	8	[#6][#6]1[#6][#6]([#7])[#6][#6][#6]1	CC1CC(N)CCC1	OC=1C(Cl)=CC=2C=3C=CN=CC3NC2C1N	CC=1C(C)=C(C)C(C)=C(N)C1N
1329	8	[#6][#6]1[#6][#6](Cl)[#6][#6][#6]1	ClC1CCCC(C)C1	CC=1ON=C2C=CC(Cl)=CC12	NC=1C(C)=C(Cl)C=C(C)C1O
1341	8	[#7][#6]1[#6][#6](Cl)[#6][#6][#6]1	NC1CC(Cl)CCC1	ClC=1C(Br)=CC2=CC=CN=C2C1C	NC=1C2=NON=C2C(Cl)=CC1N
1343	9	Cl[#6]1[#6][#6](Cl)[#6][#6][#6]1	NC1=CC=C(Cl)C=C1Cl	CC=1C(O)=C(Cl)C(O)=C(Cl)C1C	CC=1C=C(S)C(Cl)=CC1Cl
1354	8	[#8][#6]1[#6]([#7])[#6][#6][#6][#6]1	NC1CCCCC1O	C=C1N=C2C(C)=C(N)C(=O)C=C2OC1=C	OC=1C=CC=C2C=CC=NC12
1375	7	[#8][#6]1[#6][#6]([#7])[#6][#6]1	NC1CCC(O)C1	C=C1C(=C)NC=2CCC(O)C12
1391	7	[#6][#6]1[#6]([#7])[#6][#6][#6]1	NC1CCCC1C	N=1C=CC2=CC=NC=3C=4C=CC=CC4C1C23	O=C1NC(=S)NC2=C1CCC2
1394	7	[#8][#6]1[#6]([#8])[#6][#6][#6]1	OC1CCCC1O	OC1CCC2OC21
1396	7	[#8][#6]1[#6]([#7])[#6][#6][#6]1	NC1CCCC1O	NC1CC2=CC=C(O)C(O)=C2C1O	NC1C=2C=CC=CC2CC1O
1415	6	[!#1][CH]([!#1])[CH2][CH2][CH3]	OC(C)CCC	NC(C=1C=CC=CC1)CCC
1418	7	[!#1][CH]([!#1])[CH2]C(=O)[!#1]	O=C(C)CC(O)C	O=C1OCC(C)C1
1421	10	[!#1][CH]([!#1])[CH2]N([!#1])[CH2][CH]([!#1])[!#1]	CN(CC(C)O)CC(C)C
1422	4	[!#1][CH]([!#1])[CH3]	CC(C)C	CC(C1=NC=CC=C1)C
1426	7	[!#1][CH]([!#1])C([!#1])([!#1])[!#1]	CC1CCC1(C)C	OC(O)C(Cl)(Cl)Cl
1429	8	[!#1][CH]([!#1])C(=O)[CH]([!#1])[!#1]	O=C1C(C)CCC1C	CC(C)C(=O)C(C)O	O=C1C(CC2OC21)C3=COC=C3
1433	6	[!#1][CH]([!#1])C(=O)[OH]	O=C(O)C(N)C	O=C(O)C(N)C=1C=CC=CC1
1434	11	[!#1][CH]([!#1])C(=O)c1[cH][cH][cH][cH][cH]1	O=C(C=1C=CC=CC1)C(N)C	O=C(C=1C=CC=CC1)C(C)C=2C=CC=CC2
1460	10	[!#1][CH]([!#1])c1[cH][cH]c([OH])[cH][cH]1	CC(C)C1=CC=C(O)C=C1	SC(N)C1=CC=C(O)C=C1
1476	11	[!#1][CH]([!#1])N([!#1])c1[cH][cH][cH][cH][cH]1	CN(C=1C=CC=CC1)C(C)C	CN(C=1C=CC=CC1)C(C)C	CN(C=1C=CC=CC1)C(C)C
1496	9	[!#1][CH]([CH2]C(=O)[NH2])C(=O)[OH]	O=C(N)CC(N)C(=O)O
1498	9	[!#1][CH]([CH2]C(=O)[OH])C(=O)[OH]	O=C(O)CC(N)C(=O)O
1521	8	[!#1][CH]([OH])[CH2][NH]C(=O)[!#1]	O=C(C)NCC(O)C	O=C(C)NCC(O)C=1C=CC=CC1
1545	6	[!#1][CH]=[CH]N([!#1])[CH3]	CC=CN(C)C
1612	10	[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]([CH2]1)N2[CH3]	OC1CC2N(C)C(CC2)C1
1615	9	[!#1][CH]1[CH2][CH2][CH]([!#1])[CH]([!#1])[CH2]1	OC1CC(C)CCC1O
1634	7	[!#1][CH]1[CH2][CH2][NH][CH2][CH2]1	CC1CCNCC1	N1=CC(=CN1C2CCNCC2)C=3C=CC=CC3	N=1N=C(N2C=CC=CC12)C3CCNCC3
1665	15	[!#1][CH]1[CH2]c2c([nH]c3[cH][cH][cH][cH]c23)[CH]([!#1])[NH]1	CC1NC(C)CC=2C=3C=CC=CC3NC21
1696	16	[!#1][CH]1O[CH]([CH]([!#1])[CH]1[!#1])n2[cH][cH]c(=O)[nH]c2=O	O=C1C=CN(C(=O)N1)C2OC(C)C(O)C2O
1699	10	[!#1][CH]1O[CH]([CH2][OH])[CH]([OH])[CH]1[OH]	NC1OC(CO)C(O)C1O
1708	5	[!#1][CH2][CH]([!#1])[OH]	CCC(O)C	NCC(O)C=1C=CC=CC1
1710	7	[!#1][CH2][CH]([!#1])C(=O)[!#1]	O=C1CCCC1C	O=C(O)C(N)CS
1711	8	[!#1][CH2][CH]([!#1])C(=O)[NH][!#1]	O=C1NCCC1CC	O=C(NC)C(N)CO	O=C(NC1=NC(=CS1)C=2N=CC=CC2)C(C)CC
1723	10	[!#1][CH2][CH]([NH]C(=O)[!#1])C(=O)[OH]	O=C(C)NC(C(=O)O)CC	O=C(N)NC(C(=O)O)CC=1C=CC=CC1	O=C(C)NC(C(=O)O)CC1=NC=CN1
1728	10	[!#1][CH2][CH]([NH]C(=O)[CH3])C(=O)[OH]	CCC(NC(=O)C)C(=O)O	O=C(O)C(NC(=O)C)CC1=CNC=2C=CC=CC21	O=C(O)C(NC(=O)C)CC1=CN=CN1
1734	6	[!#1][CH2][CH]([OH])[CH2][!#1]	CCC(O)CO	OC1CNCC1	NCC(O)CN1C=2C=CC=CC2C=3C=CC=CC31
1768	10	[!#1][CH2][CH2][CH2][CH2]N([!#1])C(=O)[!#1]	CC(=O)N(C)CCCCC	O=C(S)N1CCCCCC1
